warm0
Epoch: [0][940/1562]	Time: 0.349 (0.343)	Epoch time [hr]: 0.090 (0.149)	Memory: 3.511 (4.358)	Loss: 1.4788 (1.9979)	Prec@1: 46.875 (26.272)	Prec@5: 87.500 (76.431)	Running Time: 330.744
Epoch: [0][950/1562]	Time: 0.329 (0.343)	Epoch time [hr]: 0.090 (0.149)	Memory: 3.511 (4.358)	Loss: 1.5816 (1.9961)	Prec@1: 50.000 (26.344)	Prec@5: 93.750 (76.525)	Running Time: 334.139
Epoch: [0][960/1562]	Time: 0.348 (0.343)	Epoch time [hr]: 0.091 (0.149)	Memory: 3.511 (4.358)	Loss: 1.7705 (1.9933)	Prec@1: 34.375 (26.493)	Prec@5: 84.375 (76.632)	Running Time: 337.588
Epoch: [0][970/1562]	Time: 0.336 (0.343)	Epoch time [hr]: 0.092 (0.149)	Memory: 3.511 (4.358)	Loss: 1.9168 (1.9891)	Prec@1: 37.500 (26.683)	Prec@5: 84.375 (76.754)	Running Time: 341.005
Epoch: [0][980/1562]	Time: 0.366 (0.343)	Epoch time [hr]: 0.093 (0.149)	Memory: 3.511 (4.358)	Loss: 1.8680 (1.9859)	Prec@1: 28.125 (26.800)	Prec@5: 81.250 (76.876)	Running Time: 344.450
Epoch: [0][990/1562]	Time: 0.338 (0.343)	Epoch time [hr]: 0.094 (0.149)	Memory: 3.511 (4.358)	Loss: 1.8137 (1.9839)	Prec@1: 28.125 (26.901)	Prec@5: 78.125 (76.952)	Running Time: 347.873
Epoch: [0][1000/1562]	Time: 0.330 (0.343)	Epoch time [hr]: 0.095 (0.149)	Memory: 3.511 (4.358)	Loss: 1.4619 (1.9812)	Prec@1: 43.750 (27.023)	Prec@5: 84.375 (77.042)	Running Time: 351.295
Epoch: [0][1010/1562]	Time: 0.345 (0.343)	Epoch time [hr]: 0.096 (0.149)	Memory: 3.511 (4.358)	Loss: 1.7365 (1.9790)	Prec@1: 31.250 (27.108)	Prec@5: 90.625 (77.139)	Running Time: 354.735
Epoch: [0][1020/1562]	Time: 0.325 (0.343)	Epoch time [hr]: 0.097 (0.149)	Memory: 3.511 (4.358)	Loss: 1.5900 (1.9758)	Prec@1: 50.000 (27.231)	Prec@5: 87.500 (77.222)	Running Time: 358.183
Epoch: [0][1030/1562]	Time: 0.350 (0.343)	Epoch time [hr]: 0.098 (0.149)	Memory: 3.511 (4.358)	Loss: 1.7857 (1.9729)	Prec@1: 28.125 (27.310)	Prec@5: 87.500 (77.328)	Running Time: 361.635
